# r_au r_arcsec Inu_beam sig_beam  Tb sig_Tb Tb2 sig_Tb2
4.2500E+01   3.5124E-01    4.0914E-04   3.0860E-06    6.3240E+00   4.7699E-02   1.1087E+01   5.2108E-02   
4.3500E+01   3.5950E-01    3.8928E-04   3.2458E-06    6.0170E+00   5.0169E-02   1.0751E+01   5.5112E-02   
4.4500E+01   3.6777E-01    3.6665E-04   3.2957E-06    5.6672E+00   5.0941E-02   1.0365E+01   5.6355E-02   
4.5500E+01   3.7603E-01    3.4343E-04   3.1310E-06    5.3083E+00   4.8395E-02   9.9666E+00   5.3977E-02   
4.6500E+01   3.8430E-01    3.1927E-04   3.0005E-06    4.9349E+00   4.6378E-02   9.5481E+00   5.2230E-02   
4.7500E+01   3.9256E-01    2.9302E-04   2.9676E-06    4.5291E+00   4.5869E-02   9.0885E+00   5.2290E-02   
4.8500E+01   4.0083E-01    2.6596E-04   3.0501E-06    4.1109E+00   4.7144E-02   8.6082E+00   5.4545E-02   
4.9500E+01   4.0909E-01    2.4008E-04   2.9925E-06    3.7108E+00   4.6254E-02   8.1416E+00   5.4428E-02   
5.0500E+01   4.1736E-01    2.1309E-04   2.8323E-06    3.2937E+00   4.3778E-02   7.6456E+00   5.2630E-02   
5.1500E+01   4.2562E-01    1.8451E-04   2.7651E-06    2.8519E+00   4.2739E-02   7.1073E+00   5.2859E-02   
5.2500E+01   4.3388E-01    1.5500E-04   2.6686E-06    2.3958E+00   4.1248E-02   6.5328E+00   5.2995E-02   
5.3500E+01   4.4215E-01    1.2469E-04   2.6138E-06    1.9273E+00   4.0401E-02   5.9154E+00   5.4756E-02   
5.4500E+01   4.5041E-01    9.4089E-05   2.5871E-06    1.4543E+00   3.9988E-02   5.2503E+00   5.8652E-02   
5.5500E+01   4.5868E-01    6.6140E-05   2.6513E-06    1.0223E+00   4.0980E-02   4.5822E+00   6.7391E-02   
5.6500E+01   4.6694E-01    4.2266E-05   2.6873E-06    6.5329E-01   4.1537E-02   3.9268E+00   8.0910E-02   
5.7500E+01   4.7521E-01    2.3347E-05   2.7142E-06    3.6087E-01   4.1953E-02   3.2864E+00   1.0633E-01   
5.8500E+01   4.8347E-01    1.0854E-05   2.6140E-06    1.6777E-01   4.0404E-02   2.7054E+00   1.5289E-01   
5.9500E+01   4.9174E-01    4.4340E-06   2.4939E-06    6.8535E-02   3.8547E-02   2.2375E+00   2.6061E-01   
6.0500E+01   5.0000E-01    2.9403E-06   2.4985E-06    4.5447E-02   3.8619E-02   2.0722E+00   3.9269E-01   
6.1500E+01   5.0826E-01    5.5458E-06   2.6046E-06    8.5720E-02   4.0259E-02   2.3389E+00   2.3194E-01   
6.2500E+01   5.1653E-01    1.1036E-05   2.6052E-06    1.7058E-01   4.0268E-02   2.7159E+00   1.5093E-01   
6.3500E+01   5.2479E-01    1.7748E-05   2.5398E-06    2.7433E-01   3.9257E-02   3.0530E+00   1.1391E-01   
6.4500E+01   5.3306E-01    2.4980E-05   2.5380E-06    3.8611E-01   3.9229E-02   3.3493E+00   9.6268E-02   
6.5500E+01   5.4132E-01    3.3238E-05   2.6591E-06    5.1375E-01   4.1101E-02   3.6416E+00   8.8606E-02   
6.6500E+01   5.4959E-01    4.4440E-05   2.8063E-06    6.8690E-01   4.3376E-02   3.9915E+00   8.2802E-02   
6.7500E+01   5.5785E-01    5.9000E-05   2.9102E-06    9.1195E-01   4.4982E-02   4.3972E+00   7.7047E-02   
6.8500E+01   5.6612E-01    8.0006E-05   3.0373E-06    1.2366E+00   4.6947E-02   4.9231E+00   7.2427E-02   
6.9500E+01   5.7438E-01    1.0867E-04   3.2034E-06    1.6797E+00   4.9514E-02   5.5738E+00   6.9652E-02   
7.0500E+01   5.8264E-01    1.4184E-04   3.2763E-06    2.1924E+00   5.0641E-02   6.2687E+00   6.6444E-02   
7.1500E+01   5.9091E-01    1.7303E-04   3.2293E-06    2.6745E+00   4.9914E-02   6.8863E+00   6.2576E-02   
7.2500E+01   5.9917E-01    1.9784E-04   3.1641E-06    3.0580E+00   4.8907E-02   7.3602E+00   5.9641E-02   
7.3500E+01   6.0744E-01    2.1354E-04   2.9981E-06    3.3006E+00   4.6341E-02   7.6540E+00   5.5688E-02   
7.4500E+01   6.1570E-01    2.1685E-04   2.7320E-06    3.3518E+00   4.2228E-02   7.7154E+00   5.0601E-02   
7.5500E+01   6.2397E-01    2.0587E-04   2.5832E-06    3.1821E+00   3.9928E-02   7.5110E+00   4.8315E-02   
7.6500E+01   6.3223E-01    1.8290E-04   2.5626E-06    2.8270E+00   3.9609E-02   7.0764E+00   4.9077E-02   
7.7500E+01   6.4050E-01    1.5214E-04   2.5770E-06    2.3516E+00   3.9832E-02   6.4759E+00   5.1397E-02   
7.8500E+01   6.4876E-01    1.1984E-04   2.5933E-06    1.8523E+00   4.0084E-02   5.8133E+00   5.4898E-02   
7.9500E+01   6.5702E-01    9.1009E-05   2.4759E-06    1.4067E+00   3.8269E-02   5.1801E+00   5.6698E-02   
8.0500E+01   6.6529E-01    6.8418E-05   2.2689E-06    1.0575E+00   3.5070E-02   4.6398E+00   5.6996E-02   
8.1500E+01   6.7355E-01    5.1318E-05   2.1636E-06    7.9321E-01   3.3442E-02   4.1886E+00   6.0333E-02   
8.2500E+01   6.8182E-01    3.7537E-05   2.0238E-06    5.8020E-01   3.1281E-02   3.7810E+00   6.3989E-02   
8.3500E+01   6.9008E-01    2.7075E-05   1.9809E-06    4.1849E-01   3.0618E-02   3.4271E+00   7.2337E-02   
8.4500E+01   6.9835E-01    2.0615E-05   1.9067E-06    3.1864E-01   2.9471E-02   3.1764E+00   7.9260E-02   
8.5500E+01   7.0661E-01    1.7583E-05   1.8499E-06    2.7178E-01   2.8593E-02   3.0456E+00   8.3250E-02   
8.6500E+01   7.1488E-01    1.5376E-05   1.8337E-06    2.3766E-01   2.8343E-02   2.9431E+00   8.8420E-02   
8.7500E+01   7.2314E-01    1.2799E-05   1.8161E-06    1.9783E-01   2.8071E-02   2.8131E+00   9.6540E-02   
8.8500E+01   7.3140E-01    9.9300E-06   1.8260E-06    1.5349E-01   2.8224E-02   2.6506E+00   1.1176E-01   
8.9500E+01   7.3967E-01    7.5739E-06   1.8541E-06    1.1707E-01   2.8658E-02   2.4961E+00   1.3299E-01   
9.0500E+01   7.4793E-01    7.2638E-06   1.8808E-06    1.1227E-01   2.9071E-02   2.4739E+00   1.3840E-01   
9.1500E+01   7.5620E-01    9.2279E-06   1.8452E-06    1.4263E-01   2.8521E-02   2.6070E+00   1.1780E-01   
9.2500E+01   7.6446E-01    1.1953E-05   1.8312E-06    1.8475E-01   2.8304E-02   2.7674E+00   1.0105E-01   
9.3500E+01   7.7273E-01    1.4196E-05   1.8439E-06    2.1942E-01   2.8501E-02   2.8851E+00   9.2731E-02   
9.4500E+01   7.8099E-01    1.5762E-05   1.7680E-06    2.4363E-01   2.7327E-02   2.9615E+00   8.4146E-02   
9.5500E+01   7.8926E-01    1.6197E-05   1.5985E-06    2.5035E-01   2.4708E-02   2.9820E+00   7.4990E-02   
9.6500E+01   7.9752E-01    1.5715E-05   1.5911E-06    2.4290E-01   2.4593E-02   2.9593E+00   7.5817E-02   
9.7500E+01   8.0579E-01    1.5789E-05   1.7137E-06    2.4405E-01   2.6488E-02   2.9628E+00   8.1480E-02   
9.8500E+01   8.1405E-01    1.5702E-05   1.7053E-06    2.4270E-01   2.6358E-02   2.9587E+00   8.1312E-02   
9.9500E+01   8.2231E-01    1.4271E-05   1.6140E-06    2.2058E-01   2.4947E-02   2.8889E+00   8.0895E-02   
1.0050E+02   8.3058E-01    1.1628E-05   1.5953E-06    1.7973E-01   2.4658E-02   2.7494E+00   8.9291E-02   
1.0150E+02   8.3884E-01    8.2450E-06   1.6121E-06    1.2744E-01   2.4918E-02   2.5426E+00   1.0969E-01   
1.0250E+02   8.4711E-01    5.2579E-06   1.6316E-06    8.1270E-02   2.5219E-02   2.3139E+00   1.4638E-01   
1.0350E+02   8.5537E-01    3.7624E-06   1.6204E-06    5.8154E-02   2.5046E-02   2.1684E+00   1.8222E-01   
1.0450E+02   8.6364E-01    3.3089E-06   1.6359E-06    5.1145E-02   2.5286E-02   2.1172E+00   2.0232E-01   
1.0550E+02   8.7190E-01    2.8286E-06   1.6671E-06    4.3721E-02   2.5768E-02   2.0579E+00   2.3419E-01   
